source_country,dest_country,num_routes
Afghanistan,Azerbaijan,1
Afghanistan,India,3
Afghanistan,Iran,5
Afghanistan,Kuwait,1
Afghanistan,Pakistan,3
Afghanistan,Tajikistan,1
Afghanistan,Turkey,3
Afghanistan,United Arab Emirates,3
Albania,Austria,1
Albania,Germany,2
Albania,Greece,1
Albania,Italy,10
Albania,Slovenia,1
Albania,Turkey,2
Albania,United Kingdom,1
Algeria,Austria,1
Algeria,Belgium,1
Algeria,Burkina Faso,1
Algeria,Canada,1
Algeria,China,1
Algeria,Cote d'Ivoire,1
Algeria,Egypt,1
Algeria,France,37
Algeria,Germany,2
Algeria,Italy,3
Algeria,Jordan,1
Algeria,Lebanon,1
Algeria,Libya,1
Algeria,Mali,1
Algeria,Malta,1
Algeria,Morocco,2
Algeria,Niger,1
Algeria,Portugal,1
Algeria,Qatar,1
Algeria,Russia,1
Algeria,Saudi Arabia,2
Algeria,Senegal,1
Algeria,Spain,7
Algeria,Switzerland,1
Algeria,Tunisia,2
Algeria,Turkey,4
Algeria,United Arab Emirates,1
Algeria,United Kingdom,2
Angola,Brazil,2
Angola,China,1
Angola,Congo (Brazzaville),1
Angola,Congo (Kinshasa),1
Angola,Cuba,1
Angola,Ethiopia,1
Angola,France,1
Angola,Germany,1
Angola,Kenya,1
Angola,Morocco,1
Angola,Mozambique,1
Angola,Namibia,1
Angola,Netherlands,1
Angola,Portugal,2
Angola,Sao Tome and Principe,1
Angola,South Africa,2
Angola,Spain,1
Angola,United Arab Emirates,1
Angola,United Kingdom,1
Angola,Zimbabwe,1
Anguilla,Antigua and Barbuda,1
Anguilla,Netherlands Antilles,1
Anguilla,Puerto Rico,1
Anguilla,Virgin Islands,1
Antigua and Barbuda,Anguilla,1
Antigua and Barbuda,Barbados,1
Antigua and Barbuda,Canada,1
Antigua and Barbuda,Dominica,1
Antigua and Barbuda,Dominican Republic,2
Antigua and Barbuda,France,1
Antigua and Barbuda,Germany,1
Antigua and Barbuda,Guadeloupe,1
Antigua and Barbuda,Jamaica,1
Antigua and Barbuda,Netherlands Antilles,1
Antigua and Barbuda,Puerto Rico,1
Antigua and Barbuda,Saint Kitts and Nevis,2
Antigua and Barbuda,Saint Lucia,2
Antigua and Barbuda,Trinidad and Tobago,1
Antigua and Barbuda,United Kingdom,1
Antigua and Barbuda,United States,4
Argentina,Bolivia,1
Argentina,Brazil,14
Argentina,Chile,3
Argentina,Colombia,1
Argentina,Cuba,1
Argentina,Dominican Republic,1
Argentina,Ecuador,1
Argentina,France,1
Argentina,Germany,1
Argentina,Italy,1
Argentina,Mexico,2
Argentina,Netherlands,1
Argentina,Panama,2
Argentina,Paraguay,2
Argentina,Peru,2
Argentina,Spain,2
Argentina,United Kingdom,1
Argentina,United States,5
Argentina,Uruguay,4
Argentina,Venezuela,1
Armenia,Austria,1
Armenia,Belarus,1
Armenia,Czech Republic,1
Armenia,France,1
Armenia,Greece,1
Armenia,Iran,1
Armenia,Italy,1
Armenia,Kazakhstan,1
Armenia,Lebanon,1
Armenia,Poland,1
Armenia,Russia,19
Armenia,Ukraine,2
Armenia,United Arab Emirates,2
Aruba,Canada,1
Aruba,Colombia,1
Aruba,Dominican Republic,2
Aruba,Netherlands,1
Aruba,Netherlands Antilles,2
Aruba,Panama,1
Aruba,Suriname,1
Aruba,United States,12
Aruba,Venezuela,4
Australia,Brunei,1
Australia,Canada,1
Australia,Chile,1
Australia,China,10
Australia,Christmas Island,1
Australia,Cook Islands,1
Australia,East Timor,1
Australia,Fiji,4
Australia,Guam,1
Australia,Hong Kong,6
Australia,India,2
Australia,Indonesia,10
Australia,Japan,6
Australia,Malaysia,8
Australia,Mauritius,1
Australia,Nauru,1
Australia,New Caledonia,2
Australia,New Zealand,17
Australia,Norfolk Island,2
Australia,Papua New Guinea,3
Australia,Philippines,3
Australia,Qatar,2
Australia,Samoa,2
Australia,Singapore,7
Australia,Solomon Islands,1
Australia,South Africa,2
Australia,South Korea,2
Australia,Taiwan,2
Australia,Thailand,7
Australia,Tonga,1
Australia,United Arab Emirates,7
Australia,United States,8
Australia,Vanuatu,3
Australia,Vietnam,2
Austria,Albania,1
Austria,Algeria,1
Austria,Armenia,1
Austria,Azerbaijan,1
Austria,Belarus,1
Austria,Belgium,1
Austria,Bosnia and Herzegovina,1
Austria,Bulgaria,2
Austria,Canada,1
Austria,China,1
Austria,Croatia,3
Austria,Cyprus,1
Austria,Czech Republic,1
Austria,Denmark,1
Austria,Egypt,4
Austria,Finland,1
Austria,France,5
Austria,Georgia,1
Austria,Germany,28
Austria,Greece,15
Austria,Hungary,1
Austria,India,1
Austria,Iran,1
Austria,Iraq,1
Austria,Ireland,1
Austria,Israel,1
Austria,Italy,11
Austria,Japan,1
Austria,Jordan,1
Austria,Kazakhstan,1
Austria,Latvia,1
Austria,Lithuania,1
Austria,Luxembourg,1
Austria,Macedonia,1
Austria,Malta,1
Austria,Moldova,1
Austria,Montenegro,1
Austria,Netherlands,4
Austria,Norway,1
Austria,Poland,2
Austria,Portugal,2
Austria,Qatar,1
Austria,Romania,4
Austria,Russia,6
Austria,Serbia,2
Austria,Slovakia,1
Austria,Slovenia,1
Austria,Spain,16
Austria,Sweden,1
Austria,Switzerland,6
Austria,Taiwan,1
Austria,Thailand,1
Austria,Tunisia,1
Austria,Turkey,10
Austria,Ukraine,5
Austria,United Arab Emirates,1
Austria,United Kingdom,7
Austria,United States,3
Azerbaijan,Afghanistan,1
Azerbaijan,Austria,1
Azerbaijan,Belarus,1
Azerbaijan,China,2
Azerbaijan,Czech Republic,1
Azerbaijan,France,1
Azerbaijan,Georgia,1
Azerbaijan,Germany,1
Azerbaijan,Hungary,1
Azerbaijan,Iran,2
Azerbaijan,Israel,1
Azerbaijan,Italy,2
Azerbaijan,Kazakhstan,3
Azerbaijan,Latvia,1
Azerbaijan,Qatar,1
Azerbaijan,Russia,14
Azerbaijan,Turkey,4
Azerbaijan,Turkmenistan,1
Azerbaijan,Ukraine,1
Azerbaijan,United Arab Emirates,1
Azerbaijan,United Kingdom,1
Azerbaijan,Uzbekistan,1
Bahamas,Canada,2
Bahamas,Cayman Islands,1
Bahamas,Cuba,1
Bahamas,Jamaica,1
Bahamas,Panama,1
Bahamas,Turks and Caicos Islands,2
Bahamas,United Kingdom,1
Bahamas,United States,38
Bahrain,Cyprus,1
Bahrain,Egypt,1
Bahrain,Ethiopia,1
Bahrain,France,1
Bahrain,Germany,1
Bahrain,India,6
Bahrain,Iran,2
Bahrain,Iraq,2
Bahrain,Jordan,1
Bahrain,Kuwait,1
Bahrain,Lebanon,1
Bahrain,Oman,1
Bahrain,Pakistan,5
Bahrain,Philippines,1
Bahrain,Qatar,1
Bahrain,Saudi Arabia,4
Bahrain,Sri Lanka,1
Bahrain,Sudan,1
Bahrain,Thailand,1
Bahrain,Turkey,1
Bahrain,United Arab Emirates,4
Bahrain,United Kingdom,1
Bahrain,Yemen,1
Bangladesh,Bhutan,1
Bangladesh,Burma,1
Bangladesh,China,2
Bangladesh,Hong Kong,1
Bangladesh,India,5
Bangladesh,Italy,1
Bangladesh,Kuwait,1
Bangladesh,Malaysia,2
Bangladesh,Nepal,1
Bangladesh,Oman,2
Bangladesh,Pakistan,1
Bangladesh,Qatar,1
Bangladesh,Saudi Arabia,4
Bangladesh,Singapore,1
Bangladesh,Sri Lanka,1
Bangladesh,Thailand,2
Bangladesh,Turkey,1
Bangladesh,United Arab Emirates,7
Bangladesh,United Kingdom,1
Barbados,Antigua and Barbuda,1
Barbados,Brazil,1
Barbados,Canada,1
Barbados,Dominica,1
Barbados,Germany,1
Barbados,Grenada,1
Barbados,Jamaica,1
Barbados,Martinique,1
Barbados,Netherlands Antilles,1
Barbados,Saint Lucia,1
Barbados,Saint Vincent and the Grenadines,1
Barbados,Trinidad and Tobago,1
Barbados,United Kingdom,2
Barbados,United States,2
Belarus,Armenia,1
Belarus,Austria,1
Belarus,Azerbaijan,1
Belarus,Cyprus,1
Belarus,Czech Republic,1
Belarus,Finland,1
Belarus,France,2
Belarus,Georgia,3
Belarus,Germany,3
Belarus,Hungary,1
Belarus,Iran,1
Belarus,Israel,1
Belarus,Italy,2
Belarus,Kazakhstan,1
Belarus,Latvia,1
Belarus,Lebanon,1
Belarus,Lithuania,1
Belarus,Netherlands,1
Belarus,Poland,1
Belarus,Russia,8
Belarus,Spain,1
Belarus,Sweden,1
Belarus,Switzerland,1
Belarus,Turkey,1
Belarus,Turkmenistan,1
Belarus,Ukraine,1
Belarus,United Arab Emirates,1
Belarus,United Kingdom,1
Belgium,Algeria,1
Belgium,Angola,1
Belgium,Austria,1
Belgium,Benin,1
Belgium,Bulgaria,4
Belgium,Burkina Faso,1
Belgium,Burundi,1
Belgium,Cameroon,2
Belgium,Canada,2
Belgium,China,1
Belgium,Congo (Kinshasa),1
Belgium,Cote d'Ivoire,1
